q1,q2,q3,qd1,qd2,qd3,t1,t2,t3,q1_dot,q2_dot,q3_dot
0,0,-1.5707963267949,0,-1.5707963267949,-1.5707963267949,,,,,,
0.000222796344147,-0.211921445052272,-1.56951171848635,0.003240459588447,-1.57259658212181,-1.56899607146798,,,,,,
0.00101882943648,-0.429043168770772,-1.5692511896476,0.007093127146565,-1.57473695298743,-1.56685570060236,,,,,,
0.002367918905041,-0.619117865755906,-1.56868221097946,0.011112490479308,-1.57696993261673,-1.56462272097306,,,,,,
0.004248524075674,-0.784568709417366,-1.56780574434111,0.015312562999772,-1.57930330623921,-1.56228934735058,,,,,,
0.006643498677745,-0.927711143554801,-1.5666247106633,0.019709192214519,-1.58174587802518,-1.55984677556461,,,,,,
0.009540051547888,-1.05075088218831,-1.56514292705414,0.024320391819811,-1.58430765558368,-1.55728499800611,,,,,,
0.012929811236792,-1.15578229965764,-1.56336413659572,0.029166757255157,-1.58700008082554,-1.55459257276425,,,,,,
0.016809148756434,-1.24478730236601,-1.56129109325759,0.034272001205239,-1.58983632746447,-1.55175632612532,,,,,,
0.021179807775173,-1.31963476956749,-1.55892465089439,0.039663673562753,-1.59283170099643,-1.54876095259337,,,,,,
0.026049921136837,-1.38208067663274,-1.55626277461563,0.045374189044348,-1.59600420959731,-1.54558844399248,,,,,,
0.031435627537941,-1.43376910148573,-1.5532993218325,0.051442416156368,-1.59937544688177,-1.54221720670803,,,,,,
0.037363826440356,-1.47623455968632,-1.55002226831552,0.057916392982975,-1.60297210067433,-1.53862055291547,,,,,,
0.04387744376999,-1.51090683794838,-1.54641059884024,0.064858558400059,-1.60682885923937,-1.53476379435042,,,,,,
0.051047116775546,-1.53912194066488,-1.54242767881535,0.072357420501957,-1.61099489374043,-1.53059775984937,,,,,,
0.059003248593184,-1.56215329087227,-1.53800334679183,0.0805596577687,-1.61555169222195,-1.52604096136784,,,,,,
0.06799171678601,-1.58121355011613,-1.53300291454949,0.089725148757225,-1.62064363166002,-1.52094902192977,,,,,,
0.076354867663589,-1.59457037960434,-1.52834934560784,0.098188643850045,-1.62534557337825,-1.51624708021154,,,,,,
0.084735099739622,-1.6051503581048,-1.52368648791962,0.106627387156589,-1.63003376410411,-1.51155888948568,,,,,,
0.093136850566145,-1.61385676994852,-1.51901242693127,0.115058500982098,-1.6347177162294,-1.5068749373604,,,,,,
0.101578238925575,-1.62130645894802,-1.51431742149744,0.123508567010094,-1.63941219735606,-1.50218045623373,,,,,,
0.109747944082284,-1.62767277012756,-1.5097743973361,0.131672346534693,-1.64394763042528,-1.49764502316451,,,,,,
0.117845094356764,-1.63342111308461,-1.50527260642191,0.139753330809167,-1.64843706613332,-1.49315558745647,,,,,,
0.12588378212098,-1.63874601211704,-1.50080405694029,0.147768221174406,-1.6528897830029,-1.48870287058689,,,,,,
0.133876911960615,-1.64377919049126,-1.49636142755041,0.155731644599445,-1.65731390712792,-1.48427874646187,,,,,,
0.141828588894421,-1.64860644462418,-1.4919423082174,0.163648881293812,-1.66171237195813,-1.47988028163167,,,,,,
0.149740011789636,-1.65328532770313,-1.48754592586935,0.171521941956506,-1.66608629454851,-1.47550635904128,,,,,,
0.157611252134962,-1.65785488101618,-1.48317215445364,0.179351463711573,-1.67043602885688,-1.47115662473291,,,,,,
0.165441936323892,-1.66234172906058,-1.47882113320739,0.187137470318543,-1.67476158808298,-1.46683106550682,,,,,,
0.173231527646623,-1.66676407417082,-1.47449310703631,0.194879706935031,-1.67906283064769,-1.4625298229421,,,,,,
0.180979444499299,-1.6711343701129,-1.47018835801092,0.202577794356652,-1.68333954588193,-1.45825310770787,,,,,,
0.18868510818733,-1.67546113150257,-1.46590717630017,0.210231301523177,-1.68759149430777,-1.45400115928202,,,,,,
0.19634796068792,-1.67975016671035,-1.46164984818522,0.21783978025288,-1.69181842693539,-1.44977422665441,,,,,,
0.203967469825656,-1.68400542161591,-1.45741665145359,0.225402782093713,-1.69602009462474,-1.44557255896506,,,,,,
0.211543129380406,-1.68822955876266,-1.45320785395798,0.2329198664718,-1.70019625261256,-1.44139640097723,,,,,,
0.219074457690126,-1.692424355944,-1.44902371330922,0.240390604834339,-1.70434666281397,-1.43724599077582,,,,,,
0.226560995749956,-1.69659098090309,-1.44486447709399,0.247814582570405,-1.70847109488957,-1.43312155870023,,,,,,
0.234002305386705,-1.70073018094961,-1.44073038324693,0.255191399823702,-1.71256932669695,-1.42902332689284,,,,,,
0.24139796793524,-1.70484241415841,-1.43662166029838,0.262520671989341,-1.71664114456675,-1.42495150902304,,,,,,
0.248747582946884,-1.70892794006409,-1.43253852772415,0.26980202968183,-1.7206863432848,-1.42090631030499,,,,,,
0.256050767325273,-1.71298688258721,-1.42848119614968,0.27703511874024,-1.72470472609503,-1.41688792749476,,,,,,
0.263307154545935,-1.7170192736294,-1.42444986757762,0.28421960004945,-1.72869610460015,-1.41289654898965,,,,,,
0.270516394051278,-1.7210250833437,-1.4204447355707,0.291355149350701,-1.7326602986564,-1.4089323549334,,,,,,
0.277678150512758,-1.72500424102376,-1.41646598554802,0.298441456793253,-1.73659713612448,-1.40499551746531,,,,,,
0.284792103616461,-1.72895664982286,-1.41251379482024,0.305478226915825,-1.74050645285924,-1.40108620073055,,,,,,
0.291857947527548,-1.73288219680452,-1.40858833282503,0.312465178248939,-1.74438809248875,-1.39720456110104,,,,,,
0.298875390366222,-1.73678075987599,-1.40468976137264,0.319402042886512,-1.74824190617629,-1.3933507474135,,,,,,
